06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:4914 NTRK1; neurotrophic receptor tyrosine kinase 1
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:7849 PAX8; paired box 8
 
06276 Chronic myeloid leukemia (18)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:867 CBL; Cbl proto-oncogene
  hsa:4089 SMAD4; SMAD family member 4
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06323 KISS1-GnRH-LH/FSH-E2 signaling (18)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:2100 ESR2; estrogen receptor 2
  hsa:8648 NCOA1; nuclear receptor coactivator 1
  hsa:10499 NCOA2; nuclear receptor coactivator 2
  hsa:1509 CTSD; cathepsin D
 
06265 Bladder cancer (17)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:2260 FGFR1; fibroblast growth factor receptor 1
  hsa:2263 FGFR2; fibroblast growth factor receptor 2
  hsa:2261 FGFR3; fibroblast growth factor receptor 3
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06268 Melanoma (17)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06324 GHRH-GH-IGF signaling (17)

  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
 
06224 CXCR signaling (16)

  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:57580 PREX1; phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
 
06322 TRH-TSH-TH signaling (16)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:7252 TSHB; thyroid stimulating hormone subunit beta
  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:7849 PAX8; paired box 8
  hsa:7173 TPO; thyroid peroxidase
  hsa:6567 SLC16A2; solute carrier family 16 member 2
  hsa:7068 THRB; thyroid hormone receptor beta
  hsa:7067 THRA; thyroid hormone receptor alpha
  hsa:488 ATP2A2; ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
 
06415 PI3K signaling (13)

  hsa:5649 RELN; reelin
  hsa:7436 VLDLR; very low density lipoprotein receptor
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:9542 NRG2; neuregulin 2
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
 
06012 Glycosaminoglycan degradation (12)

  hsa:3423 IDS; iduronate 2-sulfatase
  hsa:3425 IDUA; alpha-L-iduronidase
  hsa:411 ARSB; arylsulfatase B
  hsa:6448 SGSH; N-sulfoglucosamine sulfohydrolase
  hsa:138050 HGSNAT; heparan-alpha-glucosaminide N-acetyltransferase
  hsa:4669 NAGLU; N-acetyl-alpha-glucosaminidase
  hsa:2990 GUSB; glucuronidase beta
  hsa:2799 GNS; glucosamine (N-acetyl)-6-sulfatase
  hsa:2588 GALNS; galactosamine (N-acetyl)-6-sulfatase
  hsa:2720 GLB1; galactosidase beta 1
  hsa:3073 HEXA; hexosaminidase subunit alpha
  hsa:3074 HEXB; hexosaminidase subunit beta
 
06130 Cell cycle (viruses) (12)

  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:2033 EP300; E1A binding protein p300
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:5934 RBL2; RB transcriptional corepressor like 2
  hsa:891 CCNB1; cyclin B1
  hsa:8450 CUL4B; cullin 4B
  hsa:701 BUB1B; BUB1 mitotic checkpoint serine/threonine kinase B
  hsa:64682 ANAPC1; anaphase promoting complex subunit 1
 
06013 O-Glycan biosynthesis (11)

  hsa:10585 POMT1; protein O-mannosyltransferase 1
  hsa:29954 POMT2; protein O-mannosyltransferase 2
  hsa:84892 POMGNT2; protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
  hsa:148789 B3GALNT2; beta-1,3-N-acetylgalactosaminyltransferase 2
  hsa:84197 POMK; protein O-mannose kinase
  hsa:729920 CRPPA; CDP-L-ribitol pyrophosphorylase A
  hsa:2218 FKTN; fukutin
  hsa:79147 FKRP; fukutin related protein
  hsa:10329 RXYLT1; ribitol xylosyltransferase 1
  hsa:9215 LARGE1; LARGE xylosyl- and glucuronyltransferase 1
  hsa:55624 POMGNT1; protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
 
06121 TLR signaling (viruses and bacteria) (11)

  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5781 PTPN11; protein tyrosine phosphatase non-receptor type 11
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
 
06140 Transcription (viruses) (11)

  hsa:7874 USP7; ubiquitin specific peptidase 7
  hsa:3516 RBPJ; recombination signal binding protein for immunoglobulin kappa J region
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:1387 CREBBP; CREB binding protein
  hsa:3115 HLA-DPB1; major histocompatibility complex, class II, DP beta 1
  hsa:3123 HLA-DRB1; major histocompatibility complex, class II, DR beta 1
  hsa:7015 TERT; telomerase reverse transcriptase
  hsa:1960 EGR3; early growth response 3
  hsa:2033 EP300; E1A binding protein p300
  hsa:3054 HCFC1; host cell factor C1
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
 
06171 Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (11)

  hsa:64135 IFIH1; interferon induced with helicase C domain 1
  hsa:5648 MASP1; MBL associated serine protease 1
  hsa:721 C4B; complement C4B (Chido blood group)
  hsa:11326 VSIG4; V-set and immunoglobulin domain containing 4
  hsa:714 C1QC; complement C1q C chain
  hsa:2243 FGA; fibrinogen alpha chain
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:6231 RPS26; ribosomal protein S26
  hsa:6124 RPL4; ribosomal protein L4
  hsa:6134 RPL10; ribosomal protein L10
  hsa:6154 RPL26; ribosomal protein L26
 
06230 Cell cycle (11)

  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:990 CDC6; cell division cycle 6
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:891 CCNB1; cyclin B1
  hsa:701 BUB1B; BUB1 mitotic checkpoint serine/threonine kinase B
  hsa:64682 ANAPC1; anaphase promoting complex subunit 1
 
06360 Cushing syndrome (11)

  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:5087 PBX1; PBX homeobox 1
  hsa:1584 CYP11B1; cytochrome P450 family 11 subfamily B member 1
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5743 PTGS2; prostaglandin-endoperoxide synthase 2
  hsa:4297 KMT2A; lysine methyltransferase 2A
 
06169 Measles virus (MV) (10)

  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:64135 IFIH1; interferon induced with helicase C domain 1
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:8890 EIF2B4; eukaryotic translation initiation factor 2B subunit delta
  hsa:8893 EIF2B5; eukaryotic translation initiation factor 2B subunit epsilon
 
06227 Nuclear receptor signaling (10)

  hsa:367 AR; androgen receptor
  hsa:2100 ESR2; estrogen receptor 2
  hsa:8648 NCOA1; nuclear receptor coactivator 1
  hsa:10499 NCOA2; nuclear receptor coactivator 2
  hsa:1509 CTSD; cathepsin D
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:7471 WNT1; Wnt family member 1
  hsa:5743 PTGS2; prostaglandin-endoperoxide synthase 2
  hsa:2944 GSTM1; glutathione S-transferase mu 1
 
06016 Phenylalanine and tyrosine metabolism (9)

  hsa:5053 PAH; phenylalanine hydroxylase
  hsa:2643 GCH1; GTP cyclohydrolase 1
  hsa:5805 PTS; 6-pyruvoyltetrahydropterin synthase
  hsa:6697 SPR; sepiapterin reductase
  hsa:5092 PCBD1; pterin-4 alpha-carbinolamine dehydratase 1
  hsa:5860 QDPR; quinoid dihydropteridine reductase
  hsa:6898 TAT; tyrosine aminotransferase
  hsa:3242 HPD; 4-hydroxyphenylpyruvate dioxygenase
  hsa:2184 FAH; fumarylacetoacetate hydrolase
 
06020 beta-Oxidation in mitochondria (9)

  hsa:6584 SLC22A5; solute carrier family 22 member 5
  hsa:788 SLC25A20; solute carrier family 25 member 20
  hsa:2182 ACSL4; acyl-CoA synthetase long chain family member 4
  hsa:1376 CPT2; carnitine palmitoyltransferase 2
  hsa:34 ACADM; acyl-CoA dehydrogenase medium chain
  hsa:35 ACADS; acyl-CoA dehydrogenase short chain
  hsa:1892 ECHS1; enoyl-CoA hydratase, short chain 1
  hsa:3033 HADH; hydroxyacyl-CoA dehydrogenase
  hsa:3030 HADHA; hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
 
06310 CRH-ACTH-cortisol signaling (9)

  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:5087 PBX1; PBX homeobox 1
  hsa:1584 CYP11B1; cytochrome P450 family 11 subfamily B member 1
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
 
06316 Angiotensin-aldosterone signaling (9)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:815 CAMK2A; calcium/calmodulin dependent protein kinase II alpha
  hsa:816 CAMK2B; calcium/calmodulin dependent protein kinase II beta
  hsa:818 CAMK2G; calcium/calmodulin dependent protein kinase II gamma
  hsa:814 CAMK4; calcium/calmodulin dependent protein kinase IV
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:476 ATP1A1; ATPase Na+/K+ transporting subunit alpha 1
 
06417 AGE-RAGE signaling (9)

  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
 
06014 Sphingolipid degradation (8)

  hsa:2720 GLB1; galactosidase beta 1
  hsa:57704 GBA2; glucosylceramidase beta 2
  hsa:5660 PSAP; prosaposin
  hsa:2581 GALC; galactosylceramidase
  hsa:410 ARSA; arylsulfatase A
  hsa:6609 SMPD1; sphingomyelin phosphodiesterase 1
  hsa:55627 SMPD4; sphingomyelin phosphodiesterase 4
  hsa:427 ASAH1; N-acylsphingosine amidohydrolase 1
 
06213 Other RAS signaling (7)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:83593 RASSF5; Ras association domain family member 5
  hsa:5898 RALA; RAS like proto-oncogene A
 
06217 HH signaling (7)

  hsa:6469 SHH; sonic hedgehog signaling molecule
  hsa:5727 PTCH1; patched 1
  hsa:6608 SMO; smoothened, frizzled class receptor
  hsa:51684 SUFU; SUFU negative regulator of hedgehog signaling
  hsa:2736 GLI2; GLI family zinc finger 2
  hsa:2737 GLI3; GLI family zinc finger 3
  hsa:7471 WNT1; Wnt family member 1
 
06223 TNF signaling (7)

  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5781 PTPN11; protein tyrosine phosphatase non-receptor type 11
  hsa:23683 PRKD3; protein kinase D3
  hsa:25865 PRKD2; protein kinase D2
  hsa:5587 PRKD1; protein kinase D1
 
06234 cAMP signaling (7)

  hsa:154 ADRB2; adrenoceptor beta 2
  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:5350 PLN; phospholamban
  hsa:2770 GNAI1; G protein subunit alpha i1
 
06269 Basal cell carcinoma (7)

  hsa:6469 SHH; sonic hedgehog signaling molecule
  hsa:5727 PTCH1; patched 1
  hsa:6608 SMO; smoothened, frizzled class receptor
  hsa:51684 SUFU; SUFU negative regulator of hedgehog signaling
  hsa:2736 GLI2; GLI family zinc finger 2
  hsa:2737 GLI3; GLI family zinc finger 3
  hsa:7471 WNT1; Wnt family member 1
 
06424 RNA processing (7)

  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:55746 NUP133; nucleoporin 133
  hsa:57122 NUP107; nucleoporin 107
  hsa:79023 NUP37; nucleoporin 37
  hsa:23511 NUP188; nucleoporin 188
  hsa:9631 NUP155; nucleoporin 155
  hsa:8021 NUP214; nucleoporin 214
 
06440 Transcription (7)

  hsa:6095 RORA; RAR related orphan receptor A
  hsa:10524 KAT5; lysine acetyltransferase 5
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:3064 HTT; huntingtin
  hsa:5978 REST; RE1 silencing transcription factor
  hsa:25942 SIN3A; SIN3 transcription regulator family member A
 
06123 TNF signaling (viruses and bacteria) (6)

  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:23291 FBXW11; F-box and WD repeat domain containing 11
  hsa:8945 BTRC; beta-transducin repeat containing E3 ubiquitin protein ligase
  hsa:1108 CHD4; chromodomain helicase DNA binding protein 4
 
06129 MHC presentation (viruses) (6)

  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:10134 BCAP31; B cell receptor associated protein 31
  hsa:3115 HLA-DPB1; major histocompatibility complex, class II, DP beta 1
  hsa:3123 HLA-DRB1; major histocompatibility complex, class II, DR beta 1
 
06252 Mitochondrial ROS formation (6)

  hsa:6389 SDHA; succinate dehydrogenase complex flavoprotein subunit A
  hsa:1537 CYC1; cytochrome c1
  hsa:4514 COX3; cytochrome c oxidase subunit III
  hsa:4512 COX1; cytochrome c oxidase subunit I
  hsa:4513 COX2; cytochrome c oxidase subunit II
  hsa:1340 COX6B1; cytochrome c oxidase subunit 6B1
 
06318 CaSR-PTH signaling (6)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:2778 GNAS; GNAS complex locus
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
 
06115 WNT signaling (viruses and bacteria) (5)

  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06136 Complement activation (viruses) (5)

  hsa:5648 MASP1; MBL associated serine protease 1
  hsa:721 C4B; complement C4B (Chido blood group)
  hsa:11326 VSIG4; V-set and immunoglobulin domain containing 4
  hsa:714 C1QC; complement C1q C chain
  hsa:2243 FGA; fibrinogen alpha chain
 
06139 NLR signaling (viruses and bacteria) (5)

  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:998 CDC42; cell division cycle 42
  hsa:114548 NLRP3; NLR family pyrin domain containing 3
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5586 PKN2; protein kinase N2
 
06215 WNT signaling (5)

  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
 
06267 Small cell lung cancer (5)

  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06272 Prostate cancer (5)

  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:367 AR; androgen receptor
  hsa:2078 ERG; ETS transcription factor ERG
  hsa:7850 IL1R2; interleukin 1 receptor type 2
 
06414 Apoptosis (5)

  hsa:3064 HTT; huntingtin
  hsa:6647 SOD1; superoxide dismutase 1
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:27429 HTRA2; HtrA serine peptidase 2
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
 
06420 Ubiquitin-proteasome system (5)

  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:2861 GPR37; G protein-coupled receptor 37
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:6647 SOD1; superoxide dismutase 1
  hsa:3064 HTT; huntingtin
 
06422 Dopamine metabolism (5)

  hsa:7054 TH; tyrosine hydroxylase
  hsa:4128 MAOA; monoamine oxidase A
  hsa:4129 MAOB; monoamine oxidase B
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:6571 SLC18A2; solute carrier family 18 member A2
 
06010 Urea cycle (4)

  hsa:1373 CPS1; carbamoyl-phosphate synthase 1
  hsa:5009 OTC; ornithine transcarbamylase
  hsa:435 ASL; argininosuccinate lyase
  hsa:383 ARG1; arginase 1
 
06017 Glycogen metabolism (4)

  hsa:7360 UGP2; UDP-glucose pyrophosphorylase 2
  hsa:2632 GBE1; 1,4-alpha-glucan branching enzyme 1
  hsa:5230 PGK1; phosphoglycerate kinase 1
  hsa:2027 ENO3; enolase 3
 
06116 NOTCH signaling (viruses) (4)

  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
  hsa:3516 RBPJ; recombination signal binding protein for immunoglobulin kappa J region
  hsa:55534 MAML3; mastermind like transcriptional coactivator 3
 
06120 Calcium signaling (viruses and bacteria) (4)

  hsa:5336 PLCG2; phospholipase C gamma 2
