hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
  hsa:55746 NUP133; nucleoporin 133
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5519 PPP2R1B; protein phosphatase 2 scaffold subunit Abeta
  hsa:5518 PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha
  hsa:5528 PPP2R5D; protein phosphatase 2 regulatory subunit B'delta
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:57187 THOC2; THO complex 2
  hsa:57122 NUP107; nucleoporin 107
  hsa:56006 SMG9; SMG9 nonsense mediated mRNA decay factor
  hsa:55930 MYO5C; myosin VC
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:5813 PURA; purine rich element binding protein A
  hsa:60 ACTB; actin beta
  hsa:6197 RPS6KA3; ribosomal protein S6 kinase A3
  hsa:6196 RPS6KA2; ribosomal protein S6 kinase A2
  hsa:6628 SNRPB; small nuclear ribonucleoprotein polypeptides B and B1
  hsa:64895 PAPOLG; poly(A) polymerase gamma
  hsa:64901 RANBP17; RAN binding protein 17
  hsa:64599 GIGYF1; GRB10 interacting GYF protein 1
  hsa:65109 UPF3B; UPF3B regulator of nonsense mediated mRNA decay
  hsa:71 ACTG1; actin gamma 1
  hsa:79068 FTO; FTO alpha-ketoglutarate dependent dioxygenase
  hsa:79228 THOC6; THO complex 6
  hsa:79023 NUP37; nucleoporin 37
  hsa:7514 XPO1; exportin 1
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:79882 ZC3H14; zinc finger CCCH-type containing 14
  hsa:8021 NUP214; nucleoporin 214
  hsa:8125 ANP32A; acidic nuclear phosphoprotein 32 family member A
  hsa:8087 FXR1; FMR1 autosomal homolog 1
  hsa:80315 CPEB4; cytoplasmic polyadenylation element binding protein 4
  hsa:8480 RAE1; ribonucleic acid export 1
  hsa:8562 DENR; density regulated re-initiation and release factor
  hsa:8888 MCM3AP; minichromosome maintenance complex component 3 associated protein
  hsa:87178 PNPT1; polyribonucleotide nucleotidyltransferase 1
  hsa:9775 EIF4A3; eukaryotic translation initiation factor 4A3
  hsa:9631 NUP155; nucleoporin 155
  hsa:9877 ZC3H11A; zinc finger CCCH-type containing 11A
  hsa:9652 TTC37; tetratricopeptide repeat domain 37

hsa03029 Mitochondrial biogenesis (80)

  hsa:10102 TSFM; Ts translation elongation factor, mitochondrial
  hsa:10367 MICU1; mitochondrial calcium uptake 1
  hsa:100131801 PET100; PET100 cytochrome c oxidase chaperone
  hsa:10128 LRPPRC; leucine rich pentatricopeptide repeat containing
  hsa:10059 DNM1L; dynamin 1 like
  hsa:125988 MICOS13; mitochondrial contact site and cristae organizing system subunit 13
  hsa:131118 DNAJC19; DnaJ heat shock protein family (Hsp40) member C19
  hsa:1387 CREBBP; CREB binding protein
  hsa:122961 ISCA2; iron-sulfur cluster assembly 2
  hsa:119559 SFXN4; sideroflexin 4
  hsa:1352 COX10; cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
  hsa:1355 COX15; cytochrome c oxidase assembly homolog COX15
  hsa:1678 TIMM8A; translocase of inner mitochondrial membrane 8A
  hsa:2033 EP300; E1A binding protein p300
  hsa:2103 ESRRB; estrogen related receptor beta
  hsa:22907 DHX30; DExH-box helicase 30
  hsa:22868 FASTKD2; FAST kinase domains 2
  hsa:23203 PMPCA; peptidase, mitochondrial processing subunit alpha
  hsa:23395 LARS2; leucyl-tRNA synthetase 2, mitochondrial
  hsa:23474 ETHE1; ETHE1 persulfide dioxygenase
  hsa:2395 FXN; frataxin
  hsa:2671 GFER; growth factor, augmenter of liver regeneration
  hsa:27247 NFU1; NFU1 iron-sulfur cluster scaffold
  hsa:26235 FBXL4; F-box and leucine rich repeat protein 4
  hsa:3028 HSD17B10; hydroxysteroid 17-beta dehydrogenase 10
  hsa:284184 NDUFAF8; NADH:ubiquinone oxidoreductase complex assembly factor 8
  hsa:28976 ACAD9; acyl-CoA dehydrogenase family member 9
  hsa:3329 HSPD1; heat shock protein family D (Hsp60) member 1
  hsa:3054 HCFC1; host cell factor C1
  hsa:3064 HTT; huntingtin
  hsa:388962 BOLA3; bolA family member 3
  hsa:4540 ND5; NADH dehydrogenase subunit 5
  hsa:4512 COX1; cytochrome c oxidase subunit I
  hsa:4513 COX2; cytochrome c oxidase subunit II
  hsa:4514 COX3; cytochrome c oxidase subunit III
  hsa:4508 ATP6; ATP synthase F0 subunit 6
  hsa:4976 OPA1; OPA1 mitochondrial dynamin like GTPase
  hsa:4644 MYO5A; myosin VA
  hsa:51100 SH3GLB1; SH3 domain containing GRB2 like, endophilin B1
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:5428 POLG; DNA polymerase gamma, catalytic subunit
  hsa:54902 TTC19; tetratricopeptide repeat domain 19
  hsa:54968 TMEM70; transmembrane protein 70
  hsa:55157 DARS2; aspartyl-tRNA synthetase 2, mitochondrial
  hsa:55005 RMND1; required for meiotic nuclear division 1 homolog
  hsa:55210 ATAD3A; ATPase family AAA domain containing 3A
  hsa:55526 DHTKD1; dehydrogenase E1 and transketolase domain containing 1
  hsa:55572 FOXRED1; FAD dependent oxidoreductase domain containing 1
  hsa:55074 OXR1; oxidation resistance 1
  hsa:56945 MRPS22; mitochondrial ribosomal protein S22
  hsa:57038 RARS2; arginyl-tRNA synthetase 2, mitochondrial
  hsa:56652 TWNK; twinkle mtDNA helicase
  hsa:56947 MFF; mitochondrial fission factor
  hsa:55930 MYO5C; myosin VC
  hsa:57154 SMURF1; SMAD specific E3 ubiquitin protein ligase 1
  hsa:5917 RARS1; arginyl-tRNA synthetase 1
  hsa:617 BCS1L; BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
  hsa:60 ACTB; actin beta
  hsa:64216 TFB2M; transcription factor B2, mitochondrial
  hsa:64374 SIL1; SIL1 nucleotide exchange factor
  hsa:644096 SDHAF1; succinate dehydrogenase complex assembly factor 1
  hsa:6341 SCO1; synthesis of cytochrome C oxidase 1
  hsa:6834 SURF1; SURF1 cytochrome c oxidase assembly factor
  hsa:71 ACTG1; actin gamma 1
  hsa:7528 YY1; YY1 transcription factor
  hsa:79133 NDUFAF5; NADH:ubiquinone oxidoreductase complex assembly factor 5
  hsa:83943 IMMP2L; inner mitochondrial membrane peptidase subunit 2
  hsa:80224 NUBPL; NUBP iron-sulfur cluster assembly factor, mitochondrial
  hsa:80347 COASY; Coenzyme A synthase
  hsa:8398 PLA2G6; phospholipase A2 group VI
  hsa:84340 GFM2; GTP dependent ribosome recycling factor mitochondrial 2
  hsa:85476 GFM1; G elongation factor mitochondrial 1
  hsa:84947 SERAC1; serine active site containing 1
  hsa:84816 RTN4IP1; reticulon 4 interacting protein 1
  hsa:84334 COA8; cytochrome c oxidase assembly factor 8
  hsa:92667 MGME1; mitochondrial genome maintenance exonuclease 1
  hsa:92609 TIMM50; translocase of inner mitochondrial membrane 50
  hsa:9512 PMPCB; peptidase, mitochondrial processing subunit beta
  hsa:9361 LONP1; lon peptidase 1, mitochondrial
  hsa:9997 SCO2; synthesis of cytochrome C oxidase 2

hsa01009 Protein phosphatases and associated proteins (77)

  hsa:10142 AKAP9; A-kinase anchoring protein 9
  hsa:10297 APC2; APC regulator of WNT signaling pathway 2
  hsa:10199 MPHOSPH10; M-phase phosphoprotein 10
  hsa:100506658 OCLN; occludin
  hsa:1062 CENPE; centromere protein E
  hsa:10768 AHCYL1; adenosylhomocysteinase like 1
  hsa:10765 KDM5B; lysine demethylase 5B
  hsa:114783 LMTK3; lemur tyrosine kinase 3
  hsa:11122 PTPRT; protein tyrosine phosphatase receptor type T
  hsa:11284 PNKP; polynucleotide kinase 3'-phosphatase
  hsa:129285 PPP1R21; protein phosphatase 1 regulatory subunit 21
  hsa:1186 CLCN7; chloride voltage-gated channel 7
  hsa:121256 TMEM132D; transmembrane protein 132D
  hsa:124997 WDR81; WD repeat domain 81
  hsa:128853 DUSP15; dual specificity phosphatase 15
  hsa:1740 DLG2; discs large MAGUK scaffold protein 2
  hsa:1741 DLG3; discs large MAGUK scaffold protein 3
  hsa:161742 SPRED1; sprouty related EVH1 domain containing 1
  hsa:191 AHCY; adenosylhomocysteinase
  hsa:2138 EYA1; EYA transcriptional coactivator and phosphatase 1
  hsa:23243 ANKRD28; ankyrin repeat domain 28
  hsa:23026 MYO16; myosin XVI
  hsa:23239 PHLPP1; PH domain and leucine rich repeat protein phosphatase 1
  hsa:23322 RPGRIP1L; RPGRIP1 like
  hsa:254048 UBN2; ubinuclein 2
  hsa:23371 TNS2; tensin 2
  hsa:27328 PCDH11X; protocadherin 11 X-linked
  hsa:25930 
  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:2917 GRM7; glutamate metabotropic receptor 7
  hsa:344558 SH3RF3; SH3 domain containing ring finger 3
  hsa:3054 HCFC1; host cell factor C1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:4130 MAP1A; microtubule associated protein 1A
  hsa:4131 MAP1B; microtubule associated protein 1B
  hsa:4137 MAPT; microtubule associated protein tau
  hsa:4659 PPP1R12A; protein phosphatase 1 regulatory subunit 12A
  hsa:4643 MYO1E; myosin IE
  hsa:51100 SH3GLB1; SH3 domain containing GRB2 like, endophilin B1
  hsa:5101 PCDH9; protocadherin 9
  hsa:54768 HYDIN; HYDIN axonemal central pair apparatus protein
  hsa:5495 PPM1B; protein phosphatase, Mg2+/Mn2+ dependent 1B
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5519 PPP2R1B; protein phosphatase 2 scaffold subunit Abeta
  hsa:5518 PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha
  hsa:5528 PPP2R5D; protein phosphatase 2 regulatory subunit B'delta
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:5536 PPP5C; protein phosphatase 5 catalytic subunit
  hsa:55066 PDPR; pyruvate dehydrogenase phosphatase regulatory subunit
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:5723 PSPH; phosphoserine phosphatase
  hsa:5927 KDM5A; lysine demethylase 5A
  hsa:57661 PHRF1; PHD and ring finger domains 1
  hsa:5787 PTPRB; protein tyrosine phosphatase receptor type B
  hsa:5788 PTPRC; protein tyrosine phosphatase receptor type C
  hsa:5781 PTPN11; protein tyrosine phosphatase non-receptor type 11
  hsa:6305 SBF1; SET binding factor 1
  hsa:64478 CSMD1; CUB and Sushi multiple domains 1
  hsa:6558 SLC12A2; solute carrier family 12 member 2
  hsa:6598 SMARCB1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
  hsa:6434 TRA2B; transformer 2 beta homolog
  hsa:65267 WNK3; WNK lysine deficient protein kinase 3
  hsa:672 BRCA1; BRCA1 DNA repair associated
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:7421 VDR; vitamin D receptor
  hsa:8242 KDM5C; lysine demethylase 5C
  hsa:84152 PPP1R1B; protein phosphatase 1 regulatory inhibitor subunit 1B
  hsa:84687 PPP1R9B; protein phosphatase 1 regulatory subunit 9B
  hsa:84919 PPP1R15B; protein phosphatase 1 regulatory subunit 15B
  hsa:8493 PPM1D; protein phosphatase, Mg2+/Mn2+ dependent 1D
  hsa:9150 CTDP1; CTD phosphatase subunit 1
  hsa:9611 NCOR1; nuclear receptor corepressor 1
  hsa:9989 PPP4R1; protein phosphatase 4 regulatory subunit 1

hsa03037 Cilium and associated proteins (72)

  hsa:10575 CCT4; chaperonin containing TCP1 subunit 4
  hsa:10518 CIB2; calcium and integrin binding family member 2
  hsa:10806 SDCCAG8; SHH signaling and ciliogenesis regulator SDCCAG8
  hsa:129880 BBS5; Bardet-Biedl syndrome 5
  hsa:123016 TTC8; tetratricopeptide repeat domain 8
  hsa:166379 BBS12; Bardet-Biedl syndrome 12
  hsa:200894 ARL13B; ADP ribosylation factor like GTPase 13B
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:23090 ZNF423; zinc finger protein 423
  hsa:23116 TOGARAM1; TOG array regulator of axonemal microtubules 1
  hsa:23247 KATNIP; katanin interacting protein
  hsa:23322 RPGRIP1L; RPGRIP1 like
  hsa:25776 CBY1; chibby family member 1, beta catenin antagonist
  hsa:27241 BBS9; Bardet-Biedl syndrome 9
  hsa:26160 IFT172; intraflagellar transport 172
  hsa:26123 TCTN3; tectonic family member 3
  hsa:27077 B9D1; B9 domain containing 1
  hsa:27185 DISC1; DISC1 scaffold protein
  hsa:25886 POC1A; POC1 centriolar protein A
  hsa:25930 
  hsa:25914 RTTN; rotatin
  hsa:284451 ODF3L2; outer dense fiber of sperm tails 3 like 2
  hsa:29899 GPSM2; G protein signaling modulator 2
  hsa:317662 FAM149B1; family with sequence similarity 149 member B1
  hsa:403 ARL3; ADP ribosylation factor like GTPase 3
  hsa:4867 NPHP1; nephrocystin 1
  hsa:49855 SCAPER; S-phase cyclin A associated protein in the ER
  hsa:51259 TMEM216; transmembrane protein 216
  hsa:51057 WDPCP; WD repeat containing planar cell polarity effector
  hsa:5108 PCM1; pericentriolar material 1
  hsa:51684 SUFU; SUFU negative regulator of hedgehog signaling
  hsa:51134 CEP83; centrosomal protein 83
  hsa:54585 LZTFL1; leucine zipper transcription factor like 1
  hsa:54903 MKS1; MKS transition zone complex subunit 1
  hsa:54806 AHI1; Abelson helper integration site 1
  hsa:54768 HYDIN; HYDIN axonemal central pair apparatus protein
  hsa:55212 BBS7; Bardet-Biedl syndrome 7
  hsa:55112 DYNC2I1; dynein 2 intermediate chain 1
  hsa:55704 CCDC88A; coiled-coil domain containing 88A
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:57545 CC2D2A; coiled-coil and C2 domain containing 2A
  hsa:57465 TBC1D24; TBC1 domain family member 24
  hsa:582 BBS1; Bardet-Biedl syndrome 1
  hsa:583 BBS2; Bardet-Biedl syndrome 2
  hsa:585 BBS4; Bardet-Biedl syndrome 4
  hsa:57688 ZSWIM6; zinc finger SWIM-type containing 6
  hsa:65062 TMEM237; transmembrane protein 237
  hsa:65250 CPLANE1; ciliogenesis and planar polarity effector complex subunit 1
  hsa:65217 PCDH15; protocadherin related 15
  hsa:7275 TUB; TUB bipartite transcription factor
  hsa:7007 TECTA; tectorin alpha
  hsa:79738 BBS10; Bardet-Biedl syndrome 10
  hsa:79583 TMEM231; transmembrane protein 231
  hsa:79867 TCTN2; tectonic family member 2
  hsa:7399 USH2A; usherin
  hsa:7840 ALMS1; ALMS1 centrosome and basal body associated protein
  hsa:79848 CSPP1; centrosome and spindle pole associated protein 1
  hsa:84100 ARL6; ADP ribosylation factor like GTPase 6
  hsa:8195 MKKS; MKKS centrosomal shuttling protein
  hsa:80184 CEP290; centrosomal protein 290
  hsa:80210 ARMC9; armadillo repeat containing 9
  hsa:84314 TMEM107; transmembrane protein 107
  hsa:8573 CASK; calcium/calmodulin dependent serine protein kinase
  hsa:8481 OFD1; OFD1 centriole and centriolar satellite protein
  hsa:84984 CEP19; centrosomal protein 19
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:91147 TMEM67; transmembrane protein 67
  hsa:9732 DOCK4; dedicator of cytokinesis 4
  hsa:95681 CEP41; centrosomal protein 41
  hsa:9731 CEP104; centrosomal protein 104
  hsa:9662 CEP135; centrosomal protein 135
  hsa:9456 

hsa03041 Spliceosome (70)

  hsa:10084 PQBP1; polyglutamine binding protein 1
  hsa:10283 CWC27; CWC27 spliceosome associated cyclophilin
  hsa:10236 HNRNPR; heterogeneous nuclear ribonucleoprotein R
  hsa:10492 SYNCRIP; synaptotagmin binding cytoplasmic RNA interacting protein
  hsa:103 ADAR; adenosine deaminase RNA specific
  hsa:104 ADARB1; adenosine deaminase RNA specific B1
  hsa:10419 PRMT5; protein arginine methyltransferase 5
  hsa:11338 U2AF2; U2 small nuclear RNA auxiliary factor 2
  hsa:11335 CBX3; chromobox 3
  hsa:114034 TOE1; target of EGR1, exonuclease
  hsa:10659 CELF2; CUGBP Elav-like family member 2
  hsa:118924 FRA10AC1; FRA10A associated CGG repeat 1
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
  hsa:202559 KHDRBS2; KH RNA binding domain containing, signal transduction associated 2
  hsa:1993 ELAVL2; ELAV like RNA binding protein 2
  hsa:1995 ELAVL3; ELAV like RNA binding protein 3
  hsa:22827 PUF60; poly(U) binding splicing factor 60
  hsa:22907 DHX30; DExH-box helicase 30
  hsa:23451 SF3B1; splicing factor 3b subunit 1
  hsa:23450 SF3B3; splicing factor 3b subunit 3
  hsa:2483 FRG1; FSHD region gene 1
  hsa:23524 SRRM2; serine/arginine repetitive matrix 2
  hsa:2547 XRCC6; X-ray repair cross complementing 6
  hsa:26173 INTS1; integrator complex subunit 1
  hsa:26512 INTS6; integrator complex subunit 6
  hsa:25957 PNISR; PNN interacting serine and arginine rich protein
  hsa:29890 RBM15B; RNA binding motif protein 15B
  hsa:3190 HNRNPK; heterogeneous nuclear ribonucleoprotein K
  hsa:3192 HNRNPU; heterogeneous nuclear ribonucleoprotein U
  hsa:3608 ILF2; interleukin enhancer binding factor 2
  hsa:3187 HNRNPH1; heterogeneous nuclear ribonucleoprotein H1
  hsa:3185 HNRNPF; heterogeneous nuclear ribonucleoprotein F
  hsa:3188 HNRNPH2; heterogeneous nuclear ribonucleoprotein H2
  hsa:3184 HNRNPD; heterogeneous nuclear ribonucleoprotein D
  hsa:4858 NOVA2; NOVA alternative splicing regulator 2
  hsa:4841 NONO; non-POU domain containing octamer binding
  hsa:51244 CCDC174; coiled-coil domain containing 174
  hsa:51319 RSRC1; arginine and serine rich coiled-coil 1
  hsa:50628 GEMIN4; gem nuclear organelle associated protein 4
  hsa:54439 RBM27; RNA binding motif protein 27
  hsa:54715 RBFOX1; RNA binding fox-1 homolog 1
  hsa:55656 INTS8; integrator complex subunit 8
  hsa:55174 INTS10; integrator complex subunit 10
  hsa:5500 PPP1CB; protein phosphatase 1 catalytic subunit beta
  hsa:55015 PRPF39; pre-mRNA processing factor 39
  hsa:55280 CWF19L1; CWF19 like cell cycle control factor 1
  hsa:57187 THOC2; THO complex 2
  hsa:57508 INTS2; integrator complex subunit 2
  hsa:57466 SCAF4; SR-related CTD associated factor 4
  hsa:56853 CELF4; CUGBP Elav-like family member 4
  hsa:5977 DPF2; double PHD fingers 2
  hsa:60677 CELF6; CUGBP Elav-like family member 6
  hsa:58155 PTBP2; polypyrimidine tract binding protein 2
  hsa:6426 SRSF1; serine and arginine rich splicing factor 1
  hsa:6434 TRA2B; transformer 2 beta homolog
  hsa:6628 SNRPB; small nuclear ribonucleoprotein polypeptides B and B1
  hsa:6651 SON; SON DNA and RNA binding protein
  hsa:64848 YTHDC2; YTH domain containing 2
  hsa:7737 RNF113A; ring finger protein 113A
  hsa:79228 THOC6; THO complex 6
  hsa:8241 RBM10; RNA binding motif protein 10
  hsa:84991 
  hsa:8559 PRPF18; pre-mRNA processing factor 18
  hsa:9130 FAM50A; family with sequence similarity 50 member A
  hsa:9343 EFTUD2; elongation factor Tu GTP binding domain containing 2
  hsa:9416 DDX23; DEAD-box helicase 23
  hsa:9775 EIF4A3; eukaryotic translation initiation factor 4A3
  hsa:9419 CRIPT; CXXC repeat containing interactor of PDZ3 domain
  hsa:9295 SRSF11; serine and arginine rich splicing factor 11
  hsa:9829 DNAJC6; DnaJ heat shock protein family (Hsp40) member C6

hsa04990 Domain-containing proteins not elsewhere classified (63)

  hsa:10580 SORBS1; sorbin and SH3 domain containing 1
  hsa:10087 CERT1; ceramide transporter 1
  hsa:10518 CIB2; calcium and integrin binding family member 2
  hsa:10367 MICU1; mitochondrial calcium uptake 1
  hsa:10256 CNKSR1; connector enhancer of kinase suppressor of Ras 1
  hsa:10178 TENM1; teneurin transmembrane protein 1
  hsa:11033 ADAP1; ArfGAP with dual PH domains 1
  hsa:114902 C1QTNF5; C1q and TNF related 5
  hsa:129684 CNTNAP5; contactin associated protein family member 5
  hsa:145581 LRFN5; leucine rich repeat and fibronectin type III domain containing 5
  hsa:139411 PTCHD1; patched domain containing 1
  hsa:164633 CABP7; calcium binding protein 7
  hsa:1762 DMWD; DM1 locus, WD repeat containing
  hsa:2245 FGD1; FYVE, RhoGEF and PH domain containing 1
  hsa:1954 MEGF8; multiple EGF like domains 8
  hsa:22866 CNKSR2; connector enhancer of kinase suppressor of Ras 2
  hsa:23245 ASTN2; astrotactin 2
  hsa:22884 WDR37; WD repeat domain 37
  hsa:23328 SASH1; SAM and SH3 domain containing 1
  hsa:23613 ZMYND8; zinc finger MYND-type containing 8
  hsa:27131 SNX5; sorting nexin 5
  hsa:26047 CNTNAP2; contactin associated protein 2
  hsa:26011 TENM4; teneurin transmembrane protein 4
  hsa:26470 SEZ6L2; seizure related 6 homolog like 2
  hsa:27286 SRPX2; sushi repeat containing protein X-linked 2
  hsa:285190 RGPD4; RANBP2 like and GRIP domain containing 4
  hsa:4925 NUCB2; nucleobindin 2
  hsa:4868 NPHS1; NPHS1 adhesion molecule, nephrin
  hsa:51741 WWOX; WW domain containing oxidoreductase
  hsa:5118 PCOLCE; procollagen C-endopeptidase enhancer
  hsa:54681 P4HTM; prolyl 4-hydroxylase, transmembrane
  hsa:54221 SNTG2; syntrophin gamma 2
  hsa:54584 GNB1L; G protein subunit beta 1 like
  hsa:55691 FRMD4A; FERM domain containing 4A
  hsa:55061 SUSD4; sushi domain containing 4
  hsa:57554 LRRC7; leucine rich repeat containing 7
  hsa:57231 SNX14; sorting nexin 14
  hsa:57497 LRFN2; leucine rich repeat and fibronectin type III domain containing 2
  hsa:57451 TENM2; teneurin transmembrane protein 2
  hsa:6262 RYR2; ryanodine receptor 2
  hsa:5913 RAPSN; receptor associated protein of the synapse
  hsa:5937 RBMS1; RNA binding motif single stranded interacting protein 1
  hsa:64857 PLEKHG2; pleckstrin homology and RhoGEF domain containing G2
  hsa:7275 TUB; TUB bipartite transcription factor
  hsa:7750 ZMYM2; zinc finger MYM-type containing 2
  hsa:81609 SNX27; sorting nexin 27
  hsa:79937 CNTNAP3; contactin associated protein family member 3
  hsa:80737 VWA7; von Willebrand factor A domain containing 7
  hsa:83552 MFRP; membrane frizzled-related protein
  hsa:8506 CNTNAP1; contactin associated protein 1
  hsa:85445 CNTNAP4; contactin associated protein family member 4
  hsa:84466 MEGF10; multiple EGF like domains 10
  hsa:84465 MEGF11; multiple EGF like domains 11
  hsa:84942 WDR73; WD repeat domain 73
  hsa:84978 FRMD5; FERM domain containing 5
  hsa:8861 LDB1; LIM domain binding 1
  hsa:9244 CRLF1; cytokine receptor like factor 1
  hsa:92737 DNER; delta/notch like EGF repeat containing
  hsa:90167 FRMD7; FERM domain containing 7
  hsa:881 CCIN; calicin
  hsa:9846 GAB2; GRB2 associated binding protein 2
  hsa:9649 RALGPS1; Ral GEF with PH domain and SH3 binding motif 1
  hsa:9758 FRMPD4; FERM and PDZ domain containing 4

hsa03400 DNA repair and recombination proteins (61)

  hsa:11284 PNKP; polynucleotide kinase 3'-phosphatase
  hsa:1161 ERCC8; ERCC excision repair 8, CSA ubiquitin ligase complex subunit
  hsa:11277 TREX1; three prime repair exonuclease 1
  hsa:126520 PLK5; polo like kinase 5 (inactive)
  hsa:2074 ERCC6; ERCC excision repair 6, chromatin remodeling factor
  hsa:2071 ERCC3; ERCC excision repair 3, TFIIH core complex helicase subunit
  hsa:2068 ERCC2; ERCC excision repair 2, TFIIH core complex helicase subunit
  hsa:2067 ERCC1; ERCC excision repair 1, endonuclease non-catalytic subunit
  hsa:2072 ERCC4; ERCC excision repair 4, endonuclease catalytic subunit
  hsa:2073 ERCC5; ERCC excision repair 5, endonuclease
  hsa:221927 BRAT1; BRCA1 associated ATM activator 1
  hsa:2175 FANCA; FA complementation group A
  hsa:2177 FANCD2; FA complementation group D2
  hsa:23132 RAD54L2; RAD54 like 2
  hsa:22909 FAN1; FANCD2 and FANCI associated nuclease 1
  hsa:23243 ANKRD28; ankyrin repeat domain 28
  hsa:23189 KANK1; KN motif and ankyrin repeat domains 1
  hsa:23503 ZFYVE26; zinc finger FYVE-type containing 26
  hsa:2547 XRCC6; X-ray repair cross complementing 6
  hsa:25939 SAMHD1; SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
  hsa:27183 VPS4A; vacuolar protein sorting 4 homolog A
  hsa:29980 DONSON; DNA replication fork stabilization factor DONSON
  hsa:404672 GTF2H5; general transcription factor IIH subunit 5
  hsa:4361 MRE11; MRE11 homolog, double strand break repair nuclease
  hsa:3981 LIG4; DNA ligase 4
  hsa:375748 ERCC6L2; ERCC excision repair 6 like 2
  hsa:4683 NBN; nibrin
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:50484 RRM2B; ribonucleotide reductase regulatory TP53 inducible subunit M2B
  hsa:51720 UIMC1; ubiquitin interaction motif containing 1
  hsa:51567 TDP2; tyrosyl-DNA phosphodiesterase 2
  hsa:54840 APTX; aprataxin
  hsa:5430 POLR2A; RNA polymerase II subunit A
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:5187 PER1; period circadian regulator 1
  hsa:56160 NSMCE3; NSE3 homolog, SMC5-SMC6 complex component
  hsa:5591 PRKDC; protein kinase, DNA-activated, catalytic subunit
  hsa:5932 RBBP8; RB binding protein 8, endonuclease
  hsa:6240 RRM1; ribonucleotide reductase catalytic subunit M1
  hsa:641 BLM; BLM RecQ like helicase
  hsa:672 BRCA1; BRCA1 DNA repair associated
  hsa:675 BRCA2; BRCA2 DNA repair associated
  hsa:7156 TOP3A; DNA topoisomerase III alpha
  hsa:7319 UBE2A; ubiquitin conjugating enzyme E2 A
  hsa:7508 XPC; XPC complex subunit, DNA damage recognition and repair factor
  hsa:7507 XPA; XPA, DNA damage recognition and repair factor
  hsa:7518 XRCC4; X-ray repair cross complementing 4
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:7531 YWHAE; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
  hsa:80208 SPG11; SPG11 vesicle trafficking associated, spatacsin
  hsa:80185 TTI2; TELO2 interacting protein 2
  hsa:8450 CUL4B; cullin 4B
  hsa:8452 CUL3; cullin 3
  hsa:84464 SLX4; SLX4 structure-specific endonuclease subunit
  hsa:8930 MBD4; methyl-CpG binding domain 4, DNA glycosylase
  hsa:8940 TOP3B; DNA topoisomerase III beta
  hsa:8924 HERC2; HECT and RLD domain containing E3 ubiquitin protein ligase 2
  hsa:89797 NAV2; neuron navigator 2
  hsa:8864 PER2; period circadian regulator 2
  hsa:9894 TELO2; telomere maintenance 2
  hsa:9989 PPP4R1; protein phosphatase 4 regulatory subunit 1

hsa03021 Transcription machinery (59)

  hsa:1024 CDK8; cyclin dependent kinase 8
  hsa:1025 CDK9; cyclin dependent kinase 9
  hsa:10302 SNAPC5; small nuclear RNA activating complex polypeptide 5
  hsa:1105 CHD1; chromodomain helicase DNA binding protein 1
  hsa:11128 POLR3A; RNA polymerase III subunit A
  hsa:116931 MED12L; mediator complex subunit 12L
  hsa:123169 LEO1; LEO1 homolog, Paf1/RNA polymerase II complex component
  hsa:2071 ERCC3; ERCC excision repair 3, TFIIH core complex helicase subunit
